Course Code,Professor Name,Academic Year,Term
QF209,LIU PENG,AY23-24,T1
MKTG101,SESHAN RAMASWAMI,AY23-24,T1
COMM253,MARK CHONG YIEW KIM,AY23-24,T1
COR-COMM1304,GWENDOLINE ANNE LIM SIU KIAO,AY23-24,T1
MKTG220,PATRICIA LUI,AY23-24,T1
MKTG215,DENNIS NG,AY23-24,T1
COR-MGMT1302,CHAN KAY MIN,AY23-24,T1
FNCE218,MANDY THAM,AY23-24,T1
MGMT104,PATRICK TAN SIONG KUAN,AY23-24,T1
MKTG101,CHEN XIN,AY23-24,T1
OBHR225,KAN SIEW NING,AY23-24,T1
COMM246,AUGUSTINE PANG,AY23-24,T1
COR1301,HANOI LOK,AY23-24,T1
COR-COMM1312,TRACY LOH,AY23-24,T1
MGMT106,ANDREW MIN HAN CHIN,AY23-24,T1
OPIM318,BUKET AVCI,AY23-24,T1
MGMT102,REDDI RAYALU KOTHA,AY23-24,T1
FNCE101,DAVID DING,AY23-24,T1
MGMT233,TAN WEE LIANG,AY23-24,T1
FNCE101,SUN JIAN,AY23-24,T1
MGMT330,MAAIKE DOYER,AY23-24,T1
MKTG204,PATRICIA LUI,AY23-24,T1
MGMT102,TERENCE FAN PING-CHING,AY23-24,T1
MGMT318,WILSON TENG,AY23-24,T1
COR2201,ASHWIN CHARI,AY23-24,T1
COR-COMM1304,CLARENCE FU,AY23-24,T1
COR-COMM1304,CHAN BOH YEE,AY23-24,T1
MKTG313,TAN BOON ANN,AY23-24,T1
MKTG227,LKCSB INSTRUCTOR 36 r1,AY23-24,T1
MGMT102,TERENCE FAN PING-CHING (G9),AY23-24,T1
COMM245,HO JACK YONG,AY23-24,T1
OBHR301,KENNETH TAI,AY23-24,T1
MGMT237,NINA TAN,AY23-24,T1
MGMT102,CHEN LIANG,AY23-24,T1
MKTG217,JORG DIETZEL,AY23-24,T1
COR-COMM1304,TRACY LOH,AY23-24,T1
MGMT102,LKCSB INSTRUCTOR 22,AY23-24,T1
FNCE232,DAVIN WANG,AY23-24,T1
OBHR101,MARKO PITESA,AY23-24,T1
MGMT330,VIVIEN KOH,AY23-24,T1
MGMT244,ADRIAN WEE,AY23-24,T1
OPIM324,AU YANG SIAN,AY23-24,T1
COR3304,LEE BOON CHUAN,AY23-24,T1
COR-MGMT1302,TAN WEE LIANG,AY23-24,T1
OPIM322,LKCSB INSTRUCTOR 21,AY23-24,T1
COMM255,TAMAS MAKANY,AY23-24,T1
COR1301,THOMAS MENKHOFF,AY23-24,T1
OBHR202,FERMIN DIEZ,AY23-24,T1
QF101,ZHAO YIBAO,AY23-24,T1
MKTG102,KIM JUNGHAN v1,AY23-24,T1
MGMT222,ROGER LOW,AY23-24,T1
OBHR101,MA KHENG MIN,AY23-24,T1
MGMT108,GOH SIONG THYE,AY23-24,T1
COR-COMM1304,SHAMALA RAMAKRESININ,AY23-24,T1
MGMT102,VICTOR GOH,AY23-24,T1
OPIM311,MARCUS ANG TECK MENG,AY23-24,T1
MGMT223,KENNETH GOH,AY23-24,T1
COR-COMM1304,SERENA LIM,AY23-24,T1
COR3304,LKCSB INSTRUCTOR 13,AY23-24,T1
COR-MGMT1303,JOLYN ANG,AY23-24,T1
MGMT102,PATRICK TAN SIONG KUAN,AY23-24,T1
COR-OBHR1308,PAUL LIM HENG LEONG,AY23-24,T1
FNCE307,AUROBINDO GHOSH,AY23-24,T1
OBHR101,TRUDI CHONG,AY23-24,T1
MGMT350,DAVID GOMULYA,AY23-24,T1
OPIM201,KOH NIAK WU,AY23-24,T1
MGMT330,ADAM GERARD,AY23-24,T1
COR-COMM1304,PETRINA TEE,AY23-24,T1
MGMT301,SESHAN RAMASWAMI,AY23-24,T1
COMM120,ONG SIOW HENG,AY23-24,T1
MKTG102,JUNG KYUN KIM,AY23-24,T1
MGMT104,VICTOR GOH,AY23-24,T1
OBHR101,KUMAR ABHISHEK,AY23-24,T1
FNCE101,AMIT KUMAR,AY23-24,T1
MGMT240,THOMAS MENKHOFF,AY23-24,T1
COR1201,ZHAO YIBAO,AY23-24,T1
MGMT330,DERRICK KON,AY23-24,T1
FNCE310,JAYESH AVLANI,AY23-24,T1
OBHR101,Fenny Ang AY23-24 T1(revised),AY23-24,T1
OPIM101,LEON XU,AY23-24,T1
OPIM348,LEON XU,AY23-24,T1
MKTG219,GEOFFREY DA SILVA,AY23-24,T1
MGMT102,TERENCE FAN PING-CHING (G8),AY23-24,T1
COR-COMM1304,SHYAMALA DEENATHAYALAN,AY23-24,T1
COR1201,LIU PENG,AY23-24,T1
OPIM101,MARCUS ANG TECK MENG,AY23-24,T1
QF205,ZHAO YIBAO,AY23-24,T1
MGMT102,ADAM TATARYNOWICZ,AY23-24,T1
COMM121,AUGUSTINE PANG,AY23-24,T1
FNCE201,JOHN MARTIN SEQUEIRA,AY23-24,T1
COMM302,SUNGJONG ROH,AY23-24,T1
OPIM311,SEAN LAM,AY23-24,T1
COR-COMM1304,YEO SU LIN,AY23-24,T1
OPIM201,NEO THIAM SOON,AY23-24,T1
MKTG101,JOSEPHINE TAN HUIPING,AY23-24,T1
FNCE315,AMIT KUMAR,AY23-24,T1
COR3304,RONALD TAY,AY23-24,T1
TRAD201,ICS INSTRUCTORS,AY23-24,T1
COR3304,PAUL LIM HENG LEONG,AY23-24,T1
MGMT321,SONG CHANGCHENG,AY23-24,T1
FNCE305,HUANG DASHAN,AY23-24,T1
MGMT317,EDMUND TAN,AY23-24,T1
MKTG227,LKCSB INSTRUCTOR 36 OLD,AY23-24,T1
MKTG101,HAN JIN KYUNG,AY23-24,T1
COMM102,YEO SU LIN,AY23-24,T1
COR2201,NEO KOK BENG,AY23-24,T1
OBHR201,WONG SOONG MENG,AY23-24,T1
FNCE213,VICTOR ONG,AY23-24,T1
FNCE101,SAM PHOEN,AY23-24,T1
MKTG103,LIM LEON GIM (revised),AY23-24,T1
COMM320,MARK CHONG YIEW KIM,AY23-24,T1
COR-MGMT2207,THOMAS MENKHOFF,AY23-24,T1
COMM360,CLARENCE FU,AY23-24,T1
OBHR234,NINA SIROLA,AY23-24,T1
MGMT236,GENG XUESONG,AY23-24,T1
OBHR101,LKCSB INSTRUCTOR 11,AY23-24,T1
COR-COMM1304,VANDANA ADVANI,AY23-24,T1
MKTG227,LKCSB INSTRUCTOR 36,AY23-24,T1
OBHR232,ALVIN TAN,AY23-24,T1
OBHR101,LOW CHIN HENG,AY23-24,T1
MKTG205,JORG DIETZEL,AY23-24,T1
COR-MGMT1302,MOHAMED IRSHAD ABBAS ALI,AY23-24,T1
COR-COMM1304,HO JACK YONG,AY23-24,T1
COR1301,RANI TAN,AY23-24,T1
MGMT102,LKCSB INSTRUCTOR 23,AY23-24,T1
COMM301,SUNGJONG ROH,AY23-24,T1
FNCE101,CHIRAPHOL NEW CHIYACHANTANA,AY23-24,T1
COR-COMM1304,LINDY ONG,AY23-24,T1
QF102,TEE CHYNG WEN,AY23-24,T1
COMM256,TAMAS MAKANY,AY23-24,T1
COR-COMM1304,SUMATHI KRISHNA,AY23-24,T1
FNCE102,CHAN SOON HUAT,AY23-24,T1
OPIM101,LIEW SING LOON,AY23-24,T1
OPIM101,SEAN LAM,AY23-24,T1
COR-COMM1304,AKANKSHA RATH,AY23-24,T1
OPIM201,WEE KWAN ENG,AY23-24,T1
OPIM326,"ZHENG ZHICHAO, DANIEL",AY23-24,T1
OBHR101,KHOO HOCK SENG,AY23-24,T1
FNCE201,KE JINGHAO,AY23-24,T1
MKTG103,LKCSB INSTRUCTOR 35 v1,AY23-24,T1
MKTG101,YU QI,AY23-24,T1
MKTG103,LIM LEON GIM,AY23-24,T1
COR1301,ROGER LOW,AY23-24,T1
OPIM201,GOH SHAO HUNG,AY23-24,T1
MGMT235,RAJAH KUMAR,AY23-24,T1
FNCE101,KE JINGHAO,AY23-24,T1
MKTG103,RAHUL NARNINDI,AY23-24,T1
MKTG102,KIM JUNGHAN,AY23-24,T1
OBHR101,LEONARD LEE,AY23-24,T1
MKTG225,RAYMOND TEO,AY23-24,T1
OPIM101,LOW CHEE SENG,AY23-24,T1
OBHR101,NINA SIROLA,AY23-24,T1
FNCE229,DAVIN WANG,AY23-24,T1
COR-COMM1304,LYNETTE WAN,AY23-24,T1
COR-MGMT1302,ER JWEE PING,AY23-24,T1
FNCE101,SHANG BOTONG,AY23-24,T1
COR-MGMT1302,LOO KHEE SHENG,AY23-24,T1
MKTG102,LKCSB INSTRUCTOR 37 v1,AY23-24,T1
COR1703,VENKAT,AY23-24,T1
FNCE201,LKCSB INSTRUCTOR 2,AY23-24,T1
COR-OBHR1309,LKCSB INSTRUCTOR 12,AY23-24,T1
MGMT205,JUDY TAN,AY23-24,T1
OBHR224,KUMAR ABHISHEK,AY23-24,T1
OPIM321,LOW CHEE SENG,AY23-24,T1
MGMT330,KOH WEE LENG,AY23-24,T1
COR-MGMT1302,GILBERT TAN YIP WEI,AY23-24,T1
FNCE217,MANDY THAM,AY23-24,T1
MGMT330,SIMON SCHILLEBEECKX,AY23-24,T1
FNCE102,KAREN GAN,AY23-24,T1
COR1703,WHITNEY ZHANG,AY23-24,T1
OPIM101,JOYCE LOW MEI WAN,AY23-24,T1
COR-COMM1313,ONG SIOW HENG,AY23-24,T1
MKTG228,ERNST CHRISTIAAN OSINGA,AY23-24,T1
COR-MGMT1302,ELIZABETH SU,AY23-24,T1
OPIM314,JOYCE LOW MEI WAN,AY23-24,T1
FNCE103,DAVID DING,AY23-24,T1
FNCE231,SONG CHANGCHENG,AY23-24,T1
COR-COMM1304,KIRTI HARNAL,AY23-24,T1
FNCE102,ZHANG HONG,AY23-24,T1
MGMT345,ANDREW MIN HAN CHIN,AY23-24,T1
COR1703,DON CHEN JIAQING,AY23-24,T1
COR2201,SHIRISH RANGNEKAR,AY23-24,T1
OPIM319,LIEVEN DEMEESTER,AY23-24,T1
OBHR101,KENNETH TAI,AY23-24,T1
OPIM201,BHAVANI SHANKER UPPARI,AY23-24,T1
FNCE101,LKCSB INSTRUCTOR 3,AY23-24,T1
FNCE101,AUROBINDO GHOSH,AY23-24,T1
MGMT346,PATRICK TAN SIONG KUAN,AY23-24,T1
FNCE101,JEREMY GOH,AY23-24,T2
COMM253,MARK CHONG YIEW KIM,AY23-24,T2
OPIM324,NEO KIN KAH,AY23-24,T2
COR-COMM1304,GWENDOLINE ANNE LIM SIU KIAO,AY23-24,T2
MKTG220,PATRICIA LUI,AY23-24,T2
MKTG215,DENNIS NG,AY23-24,T2
COR-MGMT1302,CHAN KAY MIN,AY23-24,T2
MGMT104,PATRICK TAN SIONG KUAN,AY23-24,T2
MKTG101,LI LINYI,AY23-24,T2
COMM246,AUGUSTINE PANG,AY23-24,T2
OPIM343,JOYCE LOW MEI WAN,AY23-24,T2
COR1301,HANOI LOK,AY23-24,T2
FNCE313,EMILIANO PAGNOTTA,AY23-24,T2
COR-COMM1312,TRACY LOH,AY23-24,T2
MGMT106,ANDREW MIN HAN CHIN,AY23-24,T2
OPIM101,LIN MEICHUN,AY23-24,T2
FNCE101,DAVID DING,AY23-24,T2
MGMT330,JOHN ANTONY,AY23-24,T2
FNCE225,WONG TIONG KIAT,AY23-24,T2
MGMT233,TAN WEE LIANG,AY23-24,T2
MKTG204,PATRICIA LUI,AY23-24,T2
FNCE204,LKCSB INSTRUCTOR 1 R1,AY23-24,T2
MGMT102,TERENCE FAN PING-CHING,AY23-24,T2
FNCE101,JACK HONG JIAJUN,AY23-24,T2
MGMT102,KANG JIYEON,AY23-24,T2
MGMT102,NILOOFAR ABOLFATHI,AY23-24,T2
MGMT318,WILSON TENG,AY23-24,T2
FNCE231,VICTOR ONG,AY23-24,T2
COR-COMM1304,CLARENCE FU,AY23-24,T2
OPIM313,LIEW SING LOON,AY23-24,T2
COR-COMM1304,CHAN BOH YEE,AY23-24,T2
MKTG313,TAN BOON ANN,AY23-24,T2
FNCE101,BART ZHOU YUESHEN,AY23-24,T2
MGMT102,THIA SIM PENG,AY23-24,T2
MGMT246,PATRICK TAN SIONG KUAN,AY23-24,T2
COMM245,HO JACK YONG,AY23-24,T2
MGMT227,GILBERT TAN YIP WEI,AY23-24,T2
OBHR233,PAUL LIM HENG LEONG,AY23-24,T2
MGMT237,NINA TAN,AY23-24,T2
MGMT102,CHEN LIANG,AY23-24,T2
MKTG217,JORG DIETZEL,AY23-24,T2
COR-COMM1304,TRACY LOH,AY23-24,T2
MGMT330,VIVIEN KOH,AY23-24,T2
MGMT102,SAY GUI DENG,AY23-24,T2
COR-OBHR1309,NILOTPAL JHA,AY23-24,T2
COR3304,LEE BOON CHUAN,AY23-24,T2
OBHR228,JOCHEN REB,AY23-24,T2
COR-MGMT1302,TAN WEE LIANG,AY23-24,T2
COMM255,TAMAS MAKANY,AY23-24,T2
COR1301,THOMAS MENKHOFF,AY23-24,T2
OBHR202,FERMIN DIEZ,AY23-24,T2
QF101,ZHAO YIBAO,AY23-24,T2
MGMT222,ROGER LOW,AY23-24,T2
OPIM347,MARTIN IVERSEN,AY23-24,T2
FNCE203,WANG WEI MUN,AY23-24,T2
OBHR101,MA KHENG MIN,AY23-24,T2
MGMT108,GOH SIONG THYE,AY23-24,T2
COR-OBHR1309,MICHAEL SCHAERER,AY23-24,T2
COR-COMM1304,SHAMALA RAMAKRESININ,AY23-24,T2
MGMT102,VICTOR GOH,AY23-24,T2
COR-COMM1304,SERENA LIM,AY23-24,T2
COR-OBHR1309,JARED NAI,AY23-24,T2
OBHR300,FERMIN DIEZ,AY23-24,T2
COR-MGMT1303,JOLYN ANG,AY23-24,T2
MGMT102,PATRICK TAN SIONG KUAN,AY23-24,T2
MKTG227,JOSEPHINE TAN HUIPING,AY23-24,T2
MKTG234,"LEE PUI YEE, MICHELLE",AY23-24,T2
COR-OBHR1308,PAUL LIM HENG LEONG,AY23-24,T2
OPIM314,GOH SHAO HUNG,AY23-24,T2
FNCE307,AUROBINDO GHOSH,AY23-24,T2
MGMT242,WILSON TENG,AY23-24,T2
FNCE201,CLEMENS OTTO,AY23-24,T2
MKTG103,HULYA KARAMAN,AY23-24,T2
OBHR101,TRUDI CHONG,AY23-24,T2
MGMT349,WHITNEY ZHANG,AY23-24,T2
OPIM201,KOH NIAK WU,AY23-24,T2
MGMT330,ADAM GERARD,AY23-24,T2
COR-COMM1304,PETRINA TEE,AY23-24,T2
MGMT104,VICTOR GOH,AY23-24,T2
OBHR101,KUMAR ABHISHEK,AY23-24,T2
MGMT240,THOMAS MENKHOFF,AY23-24,T2
OBHR215,CHOW WAI FONG,AY23-24,T2
COR1201,ZHAO YIBAO,AY23-24,T2
MGMT330,DERRICK KON,AY23-24,T2
FNCE310,JAYESH AVLANI,AY23-24,T2
MGMT330,LKCSB INSTRUCTOR 26,AY23-24,T2
COR-COMM1304,SHYAMALA DEENATHAYALAN,AY23-24,T2
OPIM101,MARCUS ANG TECK MENG,AY23-24,T2
MGMT342,THOMAS MENKHOFF,AY23-24,T2
QF205,ZHAO YIBAO,AY23-24,T2
OBHR101,GARY GREGURAS,AY23-24,T2
COMM121,AUGUSTINE PANG,AY23-24,T2
FNCE201,JOHN MARTIN SEQUEIRA,AY23-24,T2
COMM302,SUNGJONG ROH,AY23-24,T2
COR-COMM1304,YEO SU LIN,AY23-24,T2
OPIM201,NEO THIAM SOON,AY23-24,T2
MKTG101,JOSEPHINE TAN HUIPING,AY23-24,T2
MGMT102,DANIEL MACK,AY23-24,T2
COR3304,RONALD TAY,AY23-24,T2
TRAD201,ICS INSTRUCTORS,AY23-24,T2
MGMT102,LINNY NG,AY23-24,T2
MKTG314,GEOFFREY DA SILVA,AY23-24,T2
COR3304,PAUL LIM HENG LEONG,AY23-24,T2
MKTG207,MAH SUYUN,AY23-24,T2
OPIM326,GAO YINI,AY23-24,T2
OBHR204,CHOW WAI FONG,AY23-24,T2
COMM102,YEO SU LIN,AY23-24,T2
COR2201,NEO KOK BENG,AY23-24,T2
OBHR201,WONG SOONG MENG,AY23-24,T2
OPIM321,AU YANG SIAN,AY23-24,T2
MGMT243,JOLYN ANG,AY23-24,T2
OBHR212,TAN HWEE HOON,AY23-24,T2
COMM320,MARK CHONG YIEW KIM,AY23-24,T2
FNCE305,WANG WEI MUN,AY23-24,T2
COR-MGMT2207,THOMAS MENKHOFF,AY23-24,T2
OBHR101,BURAK OC,AY23-24,T2
COMM360,CLARENCE FU,AY23-24,T2
OPIM101,ONUR BOYABATLI,AY23-24,T2
COR-COMM1304,VANDANA ADVANI,AY23-24,T2
COR3304,BASHSHUR MICHAEL RAMSAY,AY23-24,T2
OBHR101,LOW CHIN HENG,AY23-24,T2
OBHR101,BURAK OC R1,AY23-24,T2
MKTG205,JORG DIETZEL,AY23-24,T2
COR-MGMT1302,MOHAMED IRSHAD ABBAS ALI,AY23-24,T2
MGMT330,LKCSB INSTRUCTOR 27,AY23-24,T2
COR-COMM1304,HO JACK YONG,AY23-24,T2
COR1301,RANI TAN,AY23-24,T2
OPIM101,GOH SIONG THYE,AY23-24,T2
FNCE234,ANG SOCK TIANG,AY23-24,T2
COMM301,SUNGJONG ROH,AY23-24,T2
MKTG101,THOMAS ALLARD,AY23-24,T2
FNCE101,CHIRAPHOL NEW CHIYACHANTANA,AY23-24,T2
COR-COMM1304,LINDY ONG,AY23-24,T2
QF102,TEE CHYNG WEN,AY23-24,T2
COMM256,TAMAS MAKANY,AY23-24,T2
COR-COMM1304,SUMATHI KRISHNA,AY23-24,T2
FNCE102,CHAN SOON HUAT,AY23-24,T2
MGMT236,WHITNEY ZHANG,AY23-24,T2
QF206,LIU PENG,AY23-24,T2
COR-OBHR1310,RONALD BLEDOW,AY23-24,T2
MGMT310,LKCSB INSTRUCTOR 21,AY23-24,T2
OPIM101,SEAN LAM,AY23-24,T2
FNCE102,LI WEIKAI,AY23-24,T2
COR-COMM1304,AKANKSHA RATH,AY23-24,T2
OPIM201,WEE KWAN ENG,AY23-24,T2
OPIM346,PASCALE CRAMA,AY23-24,T2
COR2201,PANG ENG FONG,AY23-24,T2
MGMT330,JOSEPHINE KANG POH TIN,AY23-24,T2
OBHR101,KHOO HOCK SENG,AY23-24,T2
COR1301,ROGER LOW,AY23-24,T2
OBHR101,SHEREEN FATIMAH,AY23-24,T2
MGMT235,FRANCIS PAVRI,AY23-24,T2
OPIM201,GOH SHAO HUNG,AY23-24,T2
MKTG101,LKCSB INSTRUCTOR 6,AY23-24,T2
FNCE221,LKCSB INSTRUCTOR 2,AY23-24,T2
FNCE201,JACK HONG JIAJUN,AY23-24,T2
MGMT332,PANG ENG FONG,AY23-24,T2
MKTG102,SESHAN RAMASWAMI,AY23-24,T2
OBHR101,LEONARD LEE,AY23-24,T2
QF307,TEE CHYNG WEN,AY23-24,T2
MGMT330,LKCSB INSTRUCTOR 25,AY23-24,T2
MKTG225,RAYMOND TEO,AY23-24,T2
COR-COMM1304,LYNETTE WAN,AY23-24,T2
COR-MGMT1302,LOO KHEE SHENG,AY23-24,T2
COR1703,VENKAT,AY23-24,T2
OPIM201,BUKET AVCI,AY23-24,T2
MKTG101,HANNAH CHANG HANWEN,AY23-24,T2
OPIM321,LOW CHEE SENG,AY23-24,T2
OBHR212,TAN HWEE HOON R1,AY23-24,T2
FNCE213,IAN PHANG,AY23-24,T2
FNCE317,MANDY THAM R1,AY23-24,T2
MGMT330,KOH WEE LENG,AY23-24,T2
COR-MGMT1302,GILBERT TAN YIP WEI,AY23-24,T2
MGMT245,VIVIEN KOH,AY23-24,T2
MKTG217,DENNIS NG,AY23-24,T2
FNCE217,MANDY THAM,AY23-24,T2
MGMT330,SIMON SCHILLEBEECKX,AY23-24,T2
FNCE102,KAREN GAN,AY23-24,T2
COR1703,WHITNEY ZHANG,AY23-24,T2
OPIM101,JOYCE LOW MEI WAN,AY23-24,T2
OBHR203,FILIP LIEVENS,AY23-24,T2
COR-COMM1313,ONG SIOW HENG,AY23-24,T2
MKTG228,ERNST CHRISTIAAN OSINGA,AY23-24,T2
COR-MGMT1302,ELIZABETH SU,AY23-24,T2
OPIM311,SHE ZHAOWEI,AY23-24,T2
FNCE314,YAO TIANHAO,AY23-24,T2
OBHR235,LEONARD LEE,AY23-24,T2
MGMT317,LIEVEN DEMEESTER,AY23-24,T2
FNCE204,LKCSB INSTRUCTOR 1,AY23-24,T2
FNCE103,DAVID DING,AY23-24,T2
OBHR302,JOCHEN REB,AY23-24,T2
COR-MGMT1303,DAVID GOMULYA,AY23-24,T2
COR-COMM1304,KIRTI HARNAL,AY23-24,T2
MGMT345,ANDREW MIN HAN CHIN,AY23-24,T2
FNCE101,AY2023 24 T2 rogerloh Jan2024,AY23-24,T2
FNCE317,MANDY THAM,AY23-24,T2
MGMT337,KENNETH GOH,AY23-24,T2
COR1703,DON CHEN JIAQING,AY23-24,T2
COR2201,SHIRISH RANGNEKAR,AY23-24,T2
COR-MGMT1302,LKCSB INSTRUCTOR 23,AY23-24,T2
MGMT334,KENNETH GOH,AY23-24,T2
FNCE101,ROGER LOH,AY23-24,T2
MKTG102,HAN MINJU,AY23-24,T2
FNCE235,JOSH NG,AY23-24,T2
MGMT205,DAPHNE YIU,AY23-24,T2
MGMT319,TERENCE FAN PING-CHING,AY23-24,T2
FNCE210,GLORIA YU,AY23-24,T2
OPIM348,WEE KWAN ENG,AY23-24,T2
COR-MGMT2211,THOMAS MENKHOFF R1,AY23-24,T3
MGMT304,THOMAS MENKHOFF,AY23-24,T3
FNCE229,DAVIN WANG,AY23-24,T3
COR-COMM1313,ONG SIOW HENG,AY23-24,T3
